RUN,Raw_Quartz,Raw_Kaolinite,Raw_Montmorillonite,Raw_Muscovite,Raw_Hematite,Raw_Magnetite,Raw_Anatase,Raw_Albite,Raw_Microcline,Raw_Anorthite,Raw_Anorthoclase,Raw_Calcite,Raw_Magnesiochloritoid,Raw_Gibbsite,Raw_Goethite,Raw_Amorphous,Raw_SiO2 (%),Raw_Al2O3 (%),Raw_Fe2O3 (%),Raw_CaO (%),Raw_MgO (%),Raw_SO3 (%),Raw_Na2O (%),Raw_K2O (%),Raw_TiO2 (%),Raw_Cr2O3 (%),Raw_P2O5 (%),Raw_MnO (%),Raw_SrO (%),Raw_ZnO (%),Raw_ZrO (%),Raw_Cl (%),Raw_CuO (%),Raw_NiO (%),Raw_Rb2O (%),Raw_CoO (%),Raw_V2O5 (%),Raw_As2O3 (%),Raw_Y2O3 (%),Raw_LOI,CC_Quartz,CC_Kaolinite,CC_Magnesiochloritoid,CC_Hematite,CC_Magnetite,CC_Anatase,CC_Albite,CC_Microcline,CC_Anorthite,CC_Anorthoclase,CC_Calcite,CC_Muscovite,CC_Goethite,CC_Amorphous,CC_SiO2 (%),CC_Al2O3 (%),CC_Fe2O3 (%),CC_CaO (%),CC_MgO (%),CC_SO3 (%),CC_Na2O (%),CC_K2O (%),CC_TiO2 (%),CC_Cr2O3 (%),CC_P2O5 (%),CC_MnO (%),CC_SrO (%),CC_ZnO (%),CC_ZrO2 (%),CC_Cl (%),CC_CuO (%),CC_NiO (%),CC_CoO (%),CC_Rb2O (%),CC_Y2O3 (%),CC_BaO (%),CC_V2O5 (%),CC_As2O3 (%),CC_LOI,Percent_CK,Temp,Time,VMD,BET,Heat_24hr,Heat_72 hr,total replace,1DS,3DS,7DS,28DS,w/b,Flow
1,2.12,42.47,0,0,0.72,1.31,3.39,0,0,0,0,0.9,0,0,7.26,41.84,43.08,31.78,8.45,0.65,0.2,0,0.24,0.07,2.06,0,0.1,0.04,0.01,0.01,0.06,0.03,0.01,0.01,0,0,0,0,0,13.17,3.21,8.23,0.2,3.21,0.41,1.93,0.35,0,8.01,2.63,0.75,0,0,71.07,46.73,33.94,9.41,1.38,0.29,0,0,0.1,2.18,0,0.12,0.05,0.02,0.01,0.06,0.07,0.02,0.02,0,0,0,0,0.06,0.03,5.48,42,700,60,18.51,42.37,125,150,20,75,219,361,459,0.56,109
2,2.12,42.47,0,0,0.72,1.31,3.39,0,0,0,0,0.9,0,0,7.26,41.84,43.08,31.78,8.45,0.65,0.2,0,0.24,0.07,2.06,0,0.1,0.04,0.01,0.01,0.06,0.03,0.01,0.01,0,0,0,0,0,13.17,3.73,0,0.07,3.95,0.21,1.46,0.01,0,7.63,1.96,0.17,0,0,80.82,0,,,,,,,,,,,,,,,,,,,,,,,,,42,800,60,18.1,39.61,145,170,20,80,201,346,471,0.54,117
3,2.12,42.47,0,0,0.72,1.31,3.39,0,0,0,0,0.9,0,0,7.26,41.84,43.08,31.78,8.45,0.65,0.2,0,0.24,0.07,2.06,0,0.1,0.04,0.01,0.01,0.06,0.03,0.01,0.01,0,0,0,0,0,13.17,3.33,0,0.06,4.05,0.15,1.28,0.97,0,6.07,0.7,0,0,0,83.39,48.92,34.28,9.64,1.51,0.31,0,0.33,0,2.28,0,0.13,0.05,0.01,0.01,0.07,0,0.03,0,0,0,0,0,0,0,2.43,42,900,60,18.15,32,137,159,20,92,224,349,523,0.54,109
4,2.12,42.47,0,0,0.72,1.31,3.39,0,0,0,0,0.9,0,0,7.26,41.84,43.08,31.78,8.45,0.65,0.2,0,0.24,0.07,2.06,0,0.1,0.04,0.01,0.01,0.06,0.03,0.01,0.01,0,0,0,0,0,13.17,3.6,0,0,3.4,0.19,1.28,0.43,0,1.45,0.52,0,0,0,89.13,48.88,34.37,9.68,1.84,0.32,0,0.33,0.12,2.26,0,0.11,0.06,0.02,0.01,0.07,0,0.01,0.02,0,0,0,0,0,0,1.75,42,1000,60,18.64,23.97,29,55,20,90,178,287,445,0.53,119
5,0.6,31.62,3.76,0,0.94,1.17,2.35,0.46,0.93,12.18,1.3,0.41,0,0,6.01,38.28,43.13,27.17,11.62,2.27,0.83,0,0.86,0.34,1.94,0,0.28,0.06,0.03,0.01,0.05,0.03,0.01,0.01,0,0,0,0,0,11.34,1.54,0,0.54,4.38,0.2,1.67,1.8,0,13.14,2.84,0,4.86,0,69.05,47.97,31.02,11.93,1.61,1.05,0,0.73,0.33,2.14,0,0.3,0.09,0.03,0.02,0.05,0,0.02,0.01,0,0,0,0,0.07,0,2.62,32,800,60,18.45,37.45,118,143,20,89,198,327,481,0.53,105
6,13.13,24.95,5.86,0,0.35,1.08,1.96,0.67,1.87,11.16,1.85,0.95,0,0,6.3,29.87,47.54,22.95,10.74,3.42,1.3,0,1.49,0.59,1.71,0.02,0.22,0.11,0.03,0.01,0.03,0.03,0.01,0.01,0,0,0,0,0,9.78,15.14,0,0.06,5.56,0.34,1.37,2.05,0,11.47,4.02,0.84,4.23,0,54.92,51.24,24.57,13.12,3.06,0.92,0,0.72,0.36,2.06,0.04,0.19,0.09,0.02,0.01,0.04,0,0,0.02,0,0,0,0.07,0,0,3.38,25,800,60,18.79,33.05,107,119,20,85,209,300,454,0.53,107
7,22.03,35.12,0,0,4.53,1.19,4.97,0,0,0,0,0,0,0,0,32.16,52.96,26.14,8.13,0.09,0.15,0.06,0,0.17,1.48,0.09,0.05,0.04,0.01,0.01,0.05,0.04,0.01,0.02,0.01,0,0.08,0,0.01,10.38,25.06,0,0.06,6.25,0.87,0.59,0,0,0,0,0,0,0,67.17,,,,,,,,,,,,,,,,,,,,,,,,,,35,800,60,15.11,,111,132,20,108,224,360,518,0.52,108
8,24.01,19.51,1.1,11.56,0.35,0.91,3.46,0,0,0,0,0,0,0,4.18,34.93,55.43,22.69,9.26,0.71,0.56,0,0.24,1.21,1.07,0.06,0.06,0.03,0.01,0.03,0.03,0,0.01,0.03,0,0,0.1,0.01,0.02,8.42,30.38,0,0.12,3.64,0.87,0.37,0,0,0,0,0,7.2,0,57.42,,,,,,,,,,,,,,,,,,,,,,,,,,20,800,60,10.58,,47,76,20,106,201,307,414,0.52,107
9,26.43,32.22,0,0,5.98,1.04,4.9,0,0,0,0,0,0,0,0,29.43,54.32,24.97,8.66,0.09,0.12,0,0,0.09,1.45,0.08,0,0.18,0.01,0.02,0.05,0,0.01,0.02,0.01,0,0.1,0,0.01,9.79,29.35,0,0.01,6.21,0.63,0.61,0,0,0,0,0,0,0,63.19,,,,,,,,,,,,,,,,,,,,,,,,,,32,800,60,17.24,,107,129,20,109,222,381,483,0.52,108
10,15.36,27.91,0,0,0.64,1.69,3.74,0,0,0,0,0,0,0,6.22,44.44,48.57,26.23,10.6,0.68,0.68,0,0,0.71,1.31,0.13,0.06,0.05,0.03,0.05,0.04,0,0.01,0.06,0.13,0,0.12,0.01,0,10.51,16.93,0,0.1,5.91,0.9,0.78,0,0,0,0,0,6.15,0,69.24,,,,,,,,,,,,,,,,,,,,,,,,,,28,800,60,17.24,,73,99,20,101,212,318,410,0.56,111
